AREA,PERIMETER,PLS54_,PLS54_ID,COUNTY_CD,MTOWN,RANGE,SECTION,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,CO_MTR,PLS16_,PLS16_ID,PLSNET_,PLSNET_ID,SOURCE,HYDROAREA,BASIN,REGIONNAME,FRQ_SECNBA,REGION,PLS10_,PLS10_ID,OBJECTID,AGENCYNAME,SOURCE_1,AGENCYUNIQ,LASTMODIFI,MODIFIEDBY,SOURCECOMM,Date_Data_,GlobalID
2572858.12461,6410.89322,541,89942,54,M15S,25E,31,-119.29517,36.58185,M,15S,M15S25E31,M15S25E,54M15S25E31,54M15S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2583770.18878,6429.99290,543,89951,54,M15S,25E,32,-119.27718,36.58161,M,15S,M15S25E32,M15S25E,54M15S25E32,54M15S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2579676.68518,6425.06794,545,89954,54,M15S,25E,33,-119.25909,36.58145,M,15S,M15S25E33,M15S25E,54M15S25E33,54M15S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2585902.95416,6433.16109,546,89957,54,M15S,25E,34,-119.24094,36.58128,M,15S,M15S25E34,M15S25E,54M15S25E34,54M15S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
429.81112,1660.50511,561,90016,54,M15S,24E,36,-119.30409,36.58321,M,15S,M15S24E36,M15S24E,54M15S24E36,54M15S24E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
760.34344,1121.97065,573,90103,54,M15S,24E,36,-119.30424,36.57540,M,15S,M15S24E36,M15S24E,54M15S24E36,54M15S24E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
243.43843,882.02684,591,90195,54,M15S,23E,34,-119.46463,36.57562,M,15S,M15S23E34,M15S23E,54M15S23E34,54M15S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
1242642.07256,5371.92619,592,90197,54,M16S,23E,04,-119.47180,36.56571,M,16S,M16S23E04,M16S23E,54M16S23E04,54M16S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2551482.38903,6388.25666,593,90198,54,M16S,23E,03,-119.45696,36.56922,M,16S,M16S23E03,M16S23E,54M16S23E03,54M16S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
355.67314,564.44257,594,90199,54,M15S,23E,34,-119.44910,36.57550,M,15S,M15S23E34,M15S23E,54M15S23E34,54M15S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
84.43467,159.69503,596,90202,54,M15S,23E,35,-119.44779,36.57548,M,15S,M15S23E35,M15S23E,54M15S23E35,54M15S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2675664.21013,6543.40285,598,90205,54,M16S,23E,02,-119.43875,36.56909,M,16S,M16S23E02,M16S23E,54M16S23E02,54M16S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2500861.65538,6326.17775,600,90209,54,M16S,23E,01,-119.42065,36.56900,M,16S,M16S23E01,M16S23E,54M16S23E01,54M16S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2558431.80645,6398.66221,601,90211,54,M16S,24E,06,-119.40301,36.56873,M,16S,M16S24E06,M16S24E,54M16S24E06,54M16S24E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2681467.38172,6549.60581,603,90215,54,M16S,24E,05,-119.38502,36.56845,M,16S,M16S24E05,M16S24E,54M16S24E05,54M16S24E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2675687.85190,6541.02290,605,90220,54,M16S,24E,04,-119.36679,36.56833,M,16S,M16S24E04,M16S24E,54M16S24E04,54M16S24E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2529529.49433,6364.06202,609,90231,54,M16S,24E,03,-119.34880,36.56821,M,16S,M16S24E03,M16S24E,54M16S24E03,54M16S24E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
