AREA,PERIMETER,PLS16_,PLS16_ID,COUNTY_CD,MTOWN,RANGE,SECTION,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS
6628.76538,417.79948,42,14638628,16,M17S,20E,25,-119.74459,36.41666,M,17S,M17S20E25,M17S20E,16M17S20E25
2638752.47006,6495.31331,43,14638631,16,M17S,22E,36,-119.53693,36.40983,M,17S,M17S22E36,M17S22E,16M17S22E36
5803.13104,3263.60822,44,14638632,16,M17S,23E,31,-119.52785,36.40985,M,17S,M17S23E31,M17S23E,16M17S23E31
2616883.93994,6473.44075,45,14435027,16,M17S,22E,35,-119.55502,36.40976,M,17S,M17S22E35,M17S22E,16M17S22E35
2620147.56204,6474.39994,46,14435034,16,M17S,22E,34,-119.57307,36.40967,M,17S,M17S22E34,M17S22E,16M17S22E34
981116.94057,6480.85579,47,14435036,16,M17S,20E,36,-119.74763,36.40984,M,17S,M17S20E36,M17S20E,16M17S20E36
2728904.87061,6691.06792,48,14435037,16,M17S,21E,31,-119.73475,36.40980,M,17S,M17S21E31,M17S21E,16M17S21E31
2595276.76651,6444.03537,49,14435042,16,M17S,22E,33,-119.59109,36.40964,M,17S,M17S22E33,M17S22E,16M17S22E33
2691275.04590,6562.13108,50,14435045,16,M17S,21E,32,-119.71673,36.40974,M,17S,M17S21E32,M17S21E,16M17S21E32
2653890.75153,6517.07504,51,14435051,16,M17S,21E,33,-119.69884,36.40969,M,17S,M17S21E33,M17S21E,16M17S21E33
2602808.41339,6453.31487,52,14435053,16,M17S,22E,32,-119.60906,36.40961,M,17S,M17S22E32,M17S22E,16M17S22E32
2595334.39867,6444.51540,53,14435055,16,M17S,22E,31,-119.62701,36.40954,M,17S,M17S22E31,M17S22E,16M17S22E31
2640049.76041,6501.95775,54,14435060,16,M17S,21E,34,-119.68088,36.40958,M,17S,M17S21E34,M17S21E,16M17S21E34
2600812.57590,6450.99190,55,14435066,16,M17S,21E,35,-119.66287,36.40950,M,17S,M17S21E35,M17S21E,16M17S21E35
2596921.27879,6446.42215,56,14435068,16,M17S,21E,36,-119.64494,36.40944,M,17S,M17S21E36,M17S21E,16M17S21E36
2656377.05902,6519.72544,57,14638950,16,M18S,22E,01,-119.53698,36.39510,M,18S,M18S22E01,M18S22E,16M18S22E01
2571934.20682,6444.94067,58,14638951,16,M18S,23E,06,-119.51900,36.39514,M,18S,M18S23E06,M18S23E,16M18S23E06
2532575.28816,6396.70420,59,14638957,16,M18S,20E,02,-119.77073,36.39562,M,18S,M18S20E02,M18S20E,16M18S20E02
