AREA,PERIMETER,PLS54_,PLS54_ID,COUNTY_CD,MTOWN,RANGE,SECTION,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,CO_MTR
2617408.08576,6474.19446,4698,106541,54,M24S,31E,24,-118.58239,35.82646,M,24S,M24S31E24,M24S31E,54M24S31E24,54M24S31E
2633145.34821,6491.92921,4699,106550,54,M24S,31E,23,-118.60006,35.82624,M,24S,M24S31E23,M24S31E,54M24S31E23,54M24S31E
2612020.63769,6464.86811,4700,106557,54,M24S,31E,22,-118.61799,35.82601,M,24S,M24S31E22,M24S31E,54M24S31E22,54M24S31E
2607561.89880,6459.96436,4701,106559,54,M24S,31E,21,-118.63599,35.82600,M,24S,M24S31E21,M24S31E,54M24S31E21,54M24S31E
2571749.34412,6417.59271,4702,106562,54,M24S,30E,24,-118.68898,35.82627,M,24S,M24S30E24,M24S30E,54M24S30E24,54M24S30E
2538854.76600,6375.04252,4703,106563,54,M24S,31E,19,-118.67136,35.82608,M,24S,M24S31E19,M24S31E,54M24S31E19,54M24S31E
2647406.54480,6508.83306,4704,106564,54,M24S,30E,20,-118.76054,35.82700,M,24S,M24S30E20,M24S30E,54M24S30E20,54M24S30E
2654647.51539,6517.54686,4705,106565,54,M24S,30E,21,-118.74238,35.82689,M,24S,M24S30E21,M24S30E,54M24S30E21,54M24S30E
2594470.45484,6443.31070,4706,106566,54,M24S,30E,22,-118.72438,35.82661,M,24S,M24S30E22,M24S30E,54M24S30E22,54M24S30E
2534245.94550,6368.09357,4707,106567,54,M24S,31E,20,-118.65380,35.82578,M,24S,M24S31E20,M24S31E,54M24S31E20,54M24S31E
2577091.28930,6421.61675,4708,106571,54,M24S,30E,23,-118.70665,35.82633,M,24S,M24S30E23,M24S30E,54M24S30E23,54M24S30E
2589748.69042,6437.14445,4709,106573,54,M24S,30E,19,-118.77852,35.82697,M,24S,M24S30E19,M24S30E,54M24S30E19,54M24S30E
2591698.54717,6439.55946,4710,106574,54,M24S,29E,24,-118.79633,35.82700,M,24S,M24S29E24,M24S29E,54M24S29E24,54M24S29E
2548784.52612,6386.41491,4711,106576,54,M24S,29E,23,-118.81398,35.82701,M,24S,M24S29E23,M24S29E,54M24S29E23,54M24S29E
2534090.64392,6370.49683,4712,106580,54,M24S,29E,22,-118.83133,35.82698,M,24S,M24S29E22,M24S29E,54M24S29E22,54M24S29E
2537227.67157,6376.49087,4713,106581,54,M24S,29E,21,-118.84841,35.82705,M,24S,M24S29E21,M24S29E,54M24S29E21,54M24S29E
2551624.43103,6392.22750,4714,106587,54,M24S,29E,20,-118.86553,35.82707,M,24S,M24S29E20,M24S29E,54M24S29E20,54M24S29E
2088082.91124,6326.01999,4715,106592,54,M24S,37E,29,-118.01373,35.81550,M,24S,M24S37E29,M24S37E,54M24S37E29,54M24S37E
71522.69864,1183.95622,4716,106593,54,M24S,37E,28,-118.00086,35.82048,M,24S,M24S37E28,M24S37E,54M24S37E28,54M24S37E
2715226.93970,6594.13203,4717,106598,54,M24S,36E,25,-118.04731,35.81592,M,24S,M24S36E25,M24S36E,54M24S36E25,54M24S36E
2545912.72388,6382.67029,4718,106599,54,M24S,37E,30,-118.02906,35.81591,M,24S,M24S37E30,M24S37E,54M24S37E30,54M24S37E
2618501.19506,6475.11538,4719,106600,54,M24S,29E,19,-118.88316,35.82700,M,24S,M24S29E19,M24S29E,54M24S29E19,54M24S29E
2512300.90844,6342.17549,4720,106602,54,M24S,28E,24,-118.90093,35.82720,M,24S,M24S28E24,M24S28E,54M24S28E24,54M24S28E
2548152.58478,6386.56191,4721,106603,54,M24S,28E,23,-118.91853,35.82735,M,24S,M24S28E23,M24S28E,54M24S28E23,54M24S28E
2566054.78333,6407.68163,4722,106604,54,M24S,28E,22,-118.93626,35.82746,M,24S,M24S28E22,M24S28E,54M24S28E22,54M24S28E
2593027.55494,6441.21890,4723,106605,54,M24S,28E,21,-118.95408,35.82754,M,24S,M24S28E21,M24S28E,54M24S28E21,54M24S28E
2583112.74268,6428.85748,4724,106610,54,M24S,28E,20,-118.97190,35.82756,M,24S,M24S28E20,M24S28E,54M24S28E20,54M24S28E
2573662.45056,6417.26495,4725,106611,54,M24S,27E,24,-119.00806,35.82784,M,24S,M24S27E24,M24S27E,54M24S27E24,54M24S27E
2681797.69897,6551.88019,4726,106612,54,M24S,28E,19,-118.98999,35.82770,M,24S,M24S28E19,M24S28E,54M24S28E19,54M24S28E
2664427.28735,6532.79331,4727,106620,54,M24S,36E,26,-118.06596,35.81555,M,24S,M24S36E26,M24S36E,54M24S36E26,54M24S36E
2564320.91699,6405.45598,4728,106622,54,M24S,27E,23,-119.02581,35.82774,M,24S,M24S27E23,M24S27E,54M24S27E23,54M24S27E
