AREA,PERIMETER,PLS10_,PLS10_ID,COUNTY_CD,MTOWN,RANGE,SECTION,SOURCE,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,CO_MTR
2594954.84340000013,6448.94456261000,23.00000000000,71022.00000000000,10,M05S,27E,03,0,-119.01455172100,37.54339179550,M,05S,M05S27E03,M05S27E,10M05S27E03,10M05S27E
2607974.15332000004,6464.08423169000,24.00000000000,71025.00000000000,10,M05S,27E,04,0,-119.03281753900,37.54338781940,M,05S,M05S27E04,M05S27E,10M05S27E04,10M05S27E
2645069.79877000023,6504.52544659000,25.00000000000,71027.00000000000,10,M05S,27E,05,0,-119.05117829200,37.54338509890,M,05S,M05S27E05,M05S27E,10M05S27E05,10M05S27E
1881131.34434999991,5464.08990404000,26.00000000000,71029.00000000000,10,M05S,27E,06,0,-119.06719469400,37.54264376620,M,05S,M05S27E06,M05S27E,10M05S27E06,10M05S27E
375786.00082199997,2726.00274972000,27.00000000000,71168.00000000000,10,M04S,26E,35,0,-119.07827232300,37.53893516720,M,04S,M04S26E35,M04S26E,10M04S26E35,10M04S26E
108630.18804700000,1950.16006295000,28.00000000000,71176.00000000000,10,M05S,28E,03,1,-118.90869722400,37.53788075970,M,05S,M05S28E03,M05S28E,10M05S28E03,10M05S28E
30736.39430060000,847.07924578500,29.00000000000,71251.00000000000,10,M04S,26E,34,0,-119.08357656800,37.53685922900,M,04S,M04S26E34,M04S26E,10M04S26E34,10M04S26E
1404113.14296999993,6327.57069346000,30.00000000000,71264.00000000000,10,M05S,28E,10,1,-118.90444902900,37.52751968400,M,05S,M05S28E10,M05S28E,10M05S28E10,10M05S28E
2589684.66312000016,6437.22839530000,31.00000000000,71267.00000000000,10,M05S,28E,09,1,-118.91956936900,37.52904819290,M,05S,M05S28E09,M05S28E,10M05S28E09,10M05S28E
2622366.90291000018,6477.70905910000,32.00000000000,71269.00000000000,10,M05S,28E,08,1,-118.93789920700,37.52904990790,M,05S,M05S28E08,M05S28E,10M05S28E08,10M05S28E
3185742.40364000015,7175.01407930000,33.00000000000,71272.00000000000,10,M05S,28E,07,1,-118.95828734500,37.52899774910,M,05S,M05S28E07,M05S28E,10M05S28E07,10M05S28E
2543780.00763999997,6380.40994790000,34.00000000000,71275.00000000000,10,M05S,27E,12,0,-118.97836514100,37.52893891900,M,05S,M05S27E12,M05S27E,10M05S27E12,10M05S27E
2594984.03568000020,6443.66277313000,35.00000000000,71278.00000000000,10,M05S,27E,11,0,-118.99634972900,37.52889881210,M,05S,M05S27E11,M05S27E,10M05S27E11,10M05S27E
2598204.38334000017,6447.60552302000,36.00000000000,71283.00000000000,10,M05S,27E,10,0,-119.01454626900,37.52888209020,M,05S,M05S27E10,M05S27E,10M05S27E10,10M05S27E
2598261.17146999994,6447.65322629000,37.00000000000,71287.00000000000,10,M05S,27E,09,0,-119.03278296800,37.52885787170,M,05S,M05S27E09,M05S27E,10M05S27E09,10M05S27E
2618029.79397000000,6472.20076733000,38.00000000000,71289.00000000000,10,M05S,27E,08,0,-119.05111572500,37.52883128770,M,05S,M05S27E08,M05S27E,10M05S27E08,10M05S27E
2122295.69484000001,5855.74572468000,39.00000000000,71293.00000000000,10,M05S,27E,07,0,-119.06780250200,37.52879778470,M,05S,M05S27E07,M05S27E,10M05S27E07,10M05S27E
3301918.57916999981,7225.90581435000,40.00000000000,71294.00000000000,10,M05S,26E,01,0,-119.08386934800,37.52549727130,M,05S,M05S26E01,M05S26E,10M05S26E01,10M05S26E
1226098.92877000012,5383.73237002000,41.00000000000,71435.00000000000,10,M05S,26E,02,0,-119.09933323600,37.52043637350,M,05S,M05S26E02,M05S26E,10M05S26E02,10M05S26E
54317.18814030000,1080.53288017000,42.00000000000,71472.00000000000,10,M05S,28E,11,1,-118.89116520900,37.52307629560,M,05S,M05S28E11,M05S28E,10M05S28E11,10M05S28E
1442051.40697999997,6061.74962149000,43.00000000000,71528.00000000000,10,M05S,28E,14,1,-118.88667617700,37.51326990820,M,05S,M05S28E14,M05S28E,10M05S28E14,10M05S28E
2652058.86799000017,6514.18231518000,44.00000000000,71530.00000000000,10,M05S,28E,15,1,-118.90140780700,37.51449043520,M,05S,M05S28E15,M05S28E,10M05S28E15,10M05S28E
2633968.71451999992,6492.12184210000,45.00000000000,71534.00000000000,10,M05S,28E,16,1,-118.91975292600,37.51447204960,M,05S,M05S28E16,M05S28E,10M05S28E16,10M05S28E
2604780.92866999982,6456.17399453000,46.00000000000,71536.00000000000,10,M05S,28E,17,1,-118.93795830900,37.51447105560,M,05S,M05S28E17,M05S28E,10M05S28E17,10M05S28E
3211916.97146000015,7202.51720744000,47.00000000000,71540.00000000000,10,M05S,28E,18,1,-118.95820127300,37.51441690510,M,05S,M05S28E18,M05S28E,10M05S28E18,10M05S28E
2552553.26642999984,6391.16358873000,48.00000000000,71543.00000000000,10,M05S,27E,13,0,-118.97832201300,37.51439113060,M,05S,M05S27E13,M05S27E,10M05S27E13,10M05S27E
2583972.64223999996,6429.93267406000,49.00000000000,71548.00000000000,10,M05S,27E,14,0,-118.99638058700,37.51437575950,M,05S,M05S27E14,M05S27E,10M05S27E14,10M05S27E
2595638.77877999982,6444.46033083000,50.00000000000,71551.00000000000,10,M05S,27E,15,0,-119.01456102600,37.51434189540,M,05S,M05S27E15,M05S27E,10M05S27E15,10M05S27E
2610991.92955000000,6463.50184208000,51.00000000000,71553.00000000000,10,M05S,27E,16,0,-119.03276449100,37.51430002240,M,05S,M05S27E16,M05S27E,10M05S27E16,10M05S27E
2645027.62802000018,6505.43448844000,52.00000000000,71554.00000000000,10,M05S,27E,17,0,-119.05107181400,37.51425725890,M,05S,M05S27E17,M05S27E,10M05S27E17,10M05S27E
2165532.98126999987,5919.97330573000,53.00000000000,71558.00000000000,10,M05S,27E,18,0,-119.06776654500,37.51420996250,M,05S,M05S27E18,M05S27E,10M05S27E18,10M05S27E
2607159.41539000021,6481.66919804000,54.00000000000,71660.00000000000,10,M05S,26E,12,0,-119.08415864400,37.50871623460,M,05S,M05S26E12,M05S26E,10M05S26E12,10M05S26E
2529596.53073000023,6363.21953838000,55.00000000000,71668.00000000000,10,M05S,26E,11,0,-119.10218455000,37.50856277240,M,05S,M05S26E11,M05S26E,10M05S26E11,10M05S26E
1230903.37895000004,5350.59019075000,56.00000000000,71695.00000000000,10,M05S,26E,10,0,-119.11716763300,37.50612731500,M,05S,M05S26E10,M05S26E,10M05S26E10,10M05S26E
20893.52194280000,1161.53821311000,57.00000000000,71784.00000000000,10,M05S,28E,13,1,-118.87092969000,37.50734804250,M,05S,M05S28E13,M05S28E,10M05S28E13,10M05S28E
1759034.29670000006,5395.46311948000,58.00000000000,71790.00000000000,10,M05S,28E,24,1,-118.86721160100,37.49911767550,M,05S,M05S28E24,M05S28E,10M05S28E24,10M05S28E
2646527.93470000010,6513.48266820000,59.00000000000,71791.00000000000,10,M05S,28E,23,1,-118.88292767600,37.49988170940,M,05S,M05S28E23,M05S28E,10M05S28E23,10M05S28E
