site_code_pre_1990,site_name_pre_1990,is_orchard_crop_pre_1990,is_annual_crop_pre_1990,is_forage_pre_1990,applied_water_category_pre_1990,site_code_1990_2016,site_name_1990_2016,cc_crop_category_2016,tree_loss_price_per_acre,tree_loss_price_per_acre_year5,is_orchard_crop_1990_2016,is_annual_crop_1990_2016,is_forage_1990_2016,applied_water_category_1990_2016,,crop_name_HR_2010,AW_HR_2010,AW_HR_2009,AW_HR_2008,AW_HR_2007,AW_HR_2006,AW_HR_2005,AW_HR_2004,AW_HR_2003,AW_HR_2002,AW_HR_2001,AW_HR_2000,AW_HR_1999,AW_HR_1998,AW_HR_2010_min
940,state highway,,,,,30000,"FOREST, TIMBERLAND",,,,,,,,,,,,,,,,,,,,,,,
2300,stone fruit,1,,,Oth Dec,30005,CHRISTMAS TREE,,6803.221477,16954.63,1,,,Oth Trk ,,,,,,,,,,,,,,,,
8005,"storage building, other",,,,,30006,FOREST PLANTINGS,,,,,,,,,,,,,,,,,,,,,,,
2501,strawberry,,1,,Oth Trk ,33008,TURF/SOD,,,,,,,,,,,,,,,,,,,,,,,
773,structural,,,,,40008,SOIL FUMIGATION/PREPLANT,,,,,,,,,,,,,,,,,,,,,,,
9204,structural control,,,,,43026,DRIED FRUIT,PLUMS DRIED,6459.48,15783.25,1,,,Oth Dec,,,,,,,,,,,,,,,,
2407,"subtropical fruit, other",,,,Subtrop,46000,STORAGE AREA/BOX,,,,,,,,,,,,,,,,,,,,,,,
3106,sudangrass,,1,,Oth Fld,46502,GRANARY,,,,,,,,,,,,,,,,,,,,,,,
1116,sugarbeet,,1,,SgrBeet,52000,LIVESTOCK,,,,,,,,,,,,,,,,,,,,,,,
2410,sugarcane,,1,,Oth Fld,52003,CATTLE,,,,,,,,,,,,,,,,,,,,,,,
4203,sunflower,,1,,Oth Fld,52013,"SHEEP, LAMB",,,,,,,,,,,,,,,,,,,,,,,
5203,sweet basil,,1,,Oth Trk ,52018,PIG,,,,,,,,,,,,,,,,,,,,,,,
1117,sweet potato,,1,,Potato,55000,POULTRY,,,,,,,,,,,,,,,,,,,,,,,
