site_code_pre_1990,site_name_pre_1990,is_orchard_crop_pre_1990,is_annual_crop_pre_1990,is_forage_pre_1990,applied_water_category_pre_1990,site_code_1990_2016,site_name_1990_2016,cc_crop_category_2016,tree_loss_price_per_acre,tree_loss_price_per_acre_year5,is_orchard_crop_1990_2016,is_annual_crop_1990_2016,is_forage_1990_2016,applied_water_category_1990_2016,,crop_name_HR_2010,AW_HR_2010,AW_HR_2009,AW_HR_2008,AW_HR_2007,AW_HR_2006,AW_HR_2005,AW_HR_2004,AW_HR_2003,AW_HR_2002,AW_HR_2001,AW_HR_2000,AW_HR_1999,AW_HR_1998,AW_HR_2010_min
1219,endive,,1,,Oth Trk ,10002,CANTALOUPE,MELONS CANTALOUPE,,,,1,,Cucurb,,,,,,,,,,,,,,,,
1238,escarole,,1,,Oth Trk ,10008,WATERMELON,MELONS WATERMELON,,,,1,,Cucurb,,,,,,,,,,,,,,,,
7300,evergreen tree/shrub,1,,,Oth Trk ,10010,CUCUMBER,CUCUMBERS,,,,1,,Cucurb,,,,,,,,,,,,,,,,
7302,"evergreen tree, other",1,,,Oth Trk ,10011,PUMPKIN,SQUASH,,,,1,,Cucurb,,,,,,,,,,,,,,,,
9101,fallow farm land,,,,,10012,SQUASH,SQUASH,,,,1,,Cucurb,,,,,,,,,,,,,,,,
1,federal agency,,,,,10013,"SQUASH, SUMMER",SQUASH,,,,1,,Cucurb,,,,,,,,,,,,,,,,
970,federal agency,,,,,10014,"SQUASH, WINTER",SQUASH,,,,1,,Cucurb,,,,,,,,,,,,,,,,
3200,fiber crop,,1,,Grain,10015,"SQUASH, ZUCCHINI",SQUASH,,,,1,,Cucurb,,,,,,,,,,,,,,,,
2415,fiejoa,1,,,Subtrop,10018,CHINESE OKRA,,,,,1,,Cucurb,,,,,,,,,,,,,,,,
2403,fig,1,,,Oth Dec,10030,CHAYOTE,,,,,1,,Cucurb,,,,,,,,,,,,,,,,
3204,flax,,1,,Oth Fld,11000,"VEGETABLES, FRUITING",,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
8,flood control,,,,,11001,EGGPLANT,EGGPLANT ALL,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
955,flood control,,,,,11003,"PEPPER, FRUITING",PEPPERS BELL,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
7500,flower,,1,,Oth Trk ,11004,PIMENTO,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
8100,food area,,,,,11005,TOMATO,TOMATOES PROCESSING,,,,1,,Fr Tom,,,,,,,,,,,,,,,,
8102,food processing plant,,,,,11008,TOMATILLO,TOMATOES PROCESSING,,,,1,,Fr Tom,,,,,,,,,,,,,,,,
3100,"forage, hay and silage",,1,,Grain,13000,"VEGETABLES, LEAFY",,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
7700,forest/timberland,,,,,13004,COLE CROP,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
2000,fruits and berries,,,,Oth Trk ,13005,BROCCOLI,BROCCOLI UNSPECIFIED,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1258,fuki,,1,,Oth Trk ,13006,BRUSSEL SPROUT,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1239,gai choy,,1,,Oth Trk ,13007,CABBAGE,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1240,gai lon,,1,,Oth Trk ,13008,CAULIFLOWER,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1121,garlic,,1,,On Gar,13009,COLLARD,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
5102,ginger,,,,Oth Trk ,13010,CHINESE CABBAGE (NAPPA),LETTUCE HEAD,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
2508,gooseberry,1,,,Oth Trk ,13011,KALE,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
3300,grain,,1,,Grain,13012,KOHLRABI,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
8001,granary,,,,,13014,DANDELION GREEN,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
2503,grape,1,,,Vine,13015,ENDIVE (ESCAROLE),LETTUCE LEAF,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
2101,grapefruit,1,,,Subtrop,13018,"ARTICHOKE, GLOBE",,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
3000,"grasses, frains, and fiber crops",,1,,Pasture,13021,MUSTARD GREENS,LETTUCE LEAF,,,,1,,Oth Fld,,,,,,,,,,,,,,,,
8002,greenhouse fumigation,,,,,13022,PARSLEY,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
9208,gypsy moth-air,,,,,13023,RHUBARB,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
9207,gypsy moth-ground,,,,,13024,SPINACH,LETTUCE LEAF,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
3202,hemp,,1,,Oth Fld,13025,SWISS CHARD,LETTUCE HEAD,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
5501,honey,,,,,13027,WATERCRESS,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
5301,hops,,1,,Oth Fld,13031,"LETTUCE, LEAF",LETTUCE LEAF,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
6102,horse,,,,,13032,CARDOON,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
5101,horseradish,,1,,Oth Trk ,13043,"VEGETABLES, STEM",,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
9209,hospital,,,,,13045,"LETTUCE, HEAD",LETTUCE HEAD,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
9210,household,,,,,13046,SHINGI KU,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
9201,industrial area,,,,,13048,CACTUS LEAF,,6803.221477,16954.63,1,,,Subtrop,,,,,,,,,,,,,,,,
9,irrigation district,,,,,13051,BAMBOO SHOOTS,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
960,irrigation district,,,,,13052,RAPPINI,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1128,jicama,,1,,Oth Trk ,13055,CHERVIL,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1226,kale,,1,,Oth Trk ,13056,ARRUGULA,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
2404,kiwi,1,,,Subtrop,13501,CILANTRO,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1228,kohlrabi,,1,,Oth Trk ,13502,BOK CHOY,LETTUCE LEAF,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
2108,kumquat,1,,,Subtrop,13504,MIZUNA,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1122,leek,,1,,Oth Trk ,13505,"CABBAGE, SAVOY",LETTUCE LEAF,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
3109,"legume, other",,1,,Oth Trk ,13509,GAI CHOY,LETTUCE LEAF,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
2102,lemon,1,,,Subtrop,13903,GAI LON,LETTUCE LEAF,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1212,"lettuce, head",,1,,Oth Trk ,13999,CHINESE GREENS,LETTUCE LEAF,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1213,"lettuce, leaf",,1,,Oth Trk ,14004,CELERIAC,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1241,"lettuce, romaine",,1,,Oth Trk ,14005,CHIVE,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
2106,lime,1,,,Subtrop,14007,GARLIC,GARLIC ALL,,,,1,,On Gar,,,,,,,,,,,,,,,,
6100,livestock,,,,,14010,LEEK,,,,,1,,On Gar,,,,,,,,,,,,,,,,
8003,livestock building,,,,,14011,"ONION, DRY",ONIONS,,,,1,,On Gar,,,,,,,,,,,,,,,,
6109,"livestock, other",,,,,14012,PARSNIP,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
6000,livestock and poultry,,,,,14013,POTATO,POTATOES ALL,,,,1,,Potato,,,,,,,,,,,,,,,,
9205,medfly-air,,,,,14014,RADISH,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
9206,medfly-ground,,,,,14015,RUTABAGA,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
5103,lotus root,,1,,Oth Trk ,14017,SHALLOT,,,,,1,,On Gar,,,,,,,,,,,,,,,,
2107,madarin,1,,,Subtrop,14018,SWEET POTATO,POTATOES ALL,,,,1,,Potato,,,,,,,,,,,,,,,,
2413,mango,1,,,Subtrop,14021,YAM,POTATOES ALL,,,,1,,Potato,,,,,,,,,,,,,,,,
1311,melon,,1,,Cucurb,14023,DAIKON,POTATOES ALL,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1310,"melon, general",,1,,Cucurb,14024,JICAMA,POTATOES ALL,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
5201,mint,,1,,Oth Trk ,14025,LOTUS ROOT,POTATOES ALL,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
9999,miscellaneous,,,,,15001,"BEAN, DRIED",BEANS DRY EDIBLE UNSPECIFIED,,,,1,,DryBean,,,,,,,,,,,,,,,,
9000,miscellaneous area/commodity,,,,,15003,"BEAN, SUCCULENT",,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
9300,miscellaneous commodity,,,,,15010,SOYBEAN GRAIN,,,,,1,,Grain,,,,,,,,,,,,,,,,
1259,mizuna,,1,,,15013,BEAN SPROUT,BEANS DRY EDIBLE UNSPECIFIED,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
9302,mushroom,,1,,Oth Trk ,15015,OKRA,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1227,mustard,,1,,Oth Fld,15021,ALFALFA SPROUT,,,,,1,,Alfalfa,,,,,,,,,,,,,,,,
1242,napa cabbage,,1,,Oth Trk ,15029,SOYBEAN SPROUT,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
2303,nectarine,1,,,Oth Dec,15032,GARBANZOS,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
9200,nonagricultural area,,,,,16002,ASPARAGUS,ASPARAGUS UNSPECIFIED,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
4100,nuts,1,,,Oth Dec,16003,MUSHROOM,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
4000,nuts and oilseeds,1,,,Oth Dec,16004,"ONION, GREEN",ONIONS,,,,1,,On Gar,,,,,,,,,,,,,,,,
4109,"nuts, other",,,,Oth Dec,21000,FIBER CROP,,,,,1,,Oth Fld,,,,,,,,,,,,,,,,
3303,oat,,1,,Grain,21003,HEMP,,,,,1,,Oth Fld,,,,,,,,,,,,,,,,
4200,oilseed,,1,,Oth Fld,21005,RAMIE,,6803.221477,16954.63,1,,,Oth Trk ,,,,,,,,,,,,,,,,
1332,okra,,1,,Oth Trk ,22000,FORAGE HAY/SILAGE,PASTURE FORAGE MISC.,,,,1,,Grain,,,,,,,,,,,,,,,,
2405,olive,1,,,Subtrop,22004,SORGHUM (FORAGE - FODDER),PASTURE FORAGE MISC.,,,,1,,Oth Fld,,,,,,,,,,,,,,,,
1123,onion,,1,,On Gar,22005,CORN (FORAGE - FODDER),CORN GRAIN,,,,1,,Corn,,,,,,,,,,,,,,,,
1125,"onion, dry",,1,,On Gar,22006,OAT (FORAGE - FODDER),HAY GRAIN,,,,1,,Grain,,,,,,,,,,,,,,,,
1126,"onion, green",,1,,On Gar,22007,WHEAT (FORAGE - FODDER),WHEAT ALL,,,,1,,Grain,,,,,,,,,,,,,,,,
9100,open land,,,,,22008,BARLEY (FORAGE - FODDER),,,,,1,,Grain,,,,,,,,,,,,,,,,
2103,orange,1,,,Subtrop,22011,SUDANGRASS,,,,,1,,Oth Fld,,,,,,,,,,,,,,,,
9102,orchard floor,,,,,22017,BERMUDAGRASS,,,,,1,,Pasture,,,,,,,,,,,,,,,,
1229,oriental vegetable,,1,,Oth Trk ,22035,RYEGRASS,,,,,1,,Pasture,,,,,,,,,,,,,,,,
7000,ornamental,,,,,23000,LEGUME (FORAGE - FODDER),,,,,1,,Oth Fld,,,,,,,,,,,,,,,,
400,other agency,,,,,23001,ALFALFA,HAY ALFALFA,,,,1,,Alfalfa,,,,,,,,,,,,,,,,
2414,papaya,1,,,Subtrop,23003,CLOVER,,,,,1,,Pasture,,,,,,,,,,,,,,,,
1214,parsley,,1,,Oth Trk ,23005,COTTON (FORAGE - FODDER),COTTON LINT PIMA,,,,1,,Cotton,,,,,,,,,,,,,,,,
5104,parsley root,,1,,Oth Trk ,23008,PEAS (FORAGE - FODDER),,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1113,parsnip,,1,,Oth Trk ,23009,SUGARBEET (FORAGE - FODDER),,,,,1,,SgrBeet,,,,,,,,,,,,,,,,
3104,pasture/rangeland,,1,,Pasture,23010,VETCH,,,,,1,,,,,,,,,,,,,,,,,,
2304,peach,1,,,Oth Dec,23011,"TREFOIL, BIRDSFOOT",,,,,,,,,,,,,,,,,,,,,,,
2202,pear,1,,,Oth Dec,23025,CARROT (FORAGE - FODDER),,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1333,peas,,1,,Oth Trk ,23036,BEET (FORAGE - FODDER),,,,,1,,SgrBeet,,,,,,,,,,,,,,,,
4103,pecan,1,,,Oth Dec,23501,TURNIP (FORAGE - FODDER),,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
1342,pepper,,1,,Oth Trk ,24000,GRAIN CROPS,HAY GRAIN,,,,1,,Grain,,,,,,,,,,,,,,,,
1343,"pepper, chili",,1,,Oth Trk ,24013,"RICE, WILD",,,,,1,,Rice,,,,,,,,,,,,,,,,
2408,persimmon,1,,,Oth Dec,25003,SUGARCANE,,,,,1,,Oth Fld,,,,,,,,,,,,,,,,
5302,pimento,,1,,Oth Trk ,25501,HONEY,,,,,,,,,,,,,,,,,,,,,,,
2409,pineapple,,1,,Subtrop,26003,TOBACCO,,,,,1,,Oth Trk ,,,,,,,,,,,,,,,,
4104,pistachio,1,,,Al Pist,27000,OILSEED,,,,,1,,Oth Fld,,,,,,,,,,,,,,,,
2305,plum,1,,,Oth Dec,27001,CASTORBEAN,,,,,1,,Oth Fld,,,,,,,,,,,,,,,,
2200,pome fruit,1,,,Oth Dec,27003,COTTONSEED OIL,,,,,1,,Cotton,,,,,,,,,,,,,,,,
2406,pomegranate,1,,,Oth Dec,27010,SOYBEAN OIL,,,,,1,,Oth Fld,,,,,,,,,,,,,,,,
